"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1955/02/01","00:00","0.836","NaN","0.443","-0.212","-0.237","-0.919","NaN","-1.48","0"
"1955/03/01","00:00","1.141","NaN","0.455","-0.209","-0.227","-0.91","NaN","-1.815","0"
"1955/04/01","00:00","1.354","NaN","0.638","-0.017","-0.042","-0.721","NaN","-1.114","0"
"1955/05/01","00:00","0.958","NaN","0.562","-0.096","-0.124","-0.81","NaN","-1.175","0"
"1955/06/01","00:00","1.233","NaN","0.632","-0.032","-0.054","-0.736","NaN","-1.084","0"
"1955/07/01","00:00","0.989","NaN","0.592","-0.057","-0.09","-0.77","NaN","-1.053","0"
"1955/08/01","00:00","1.08","NaN","0.666","0.016","-0.011","-0.691","NaN","-0.993","0"
"1955/09/01","00:00","0.897","NaN","0.611","-0.048","-0.078","-0.764","NaN","-0.993","0"
"1955/10/01","00:00","1.629","NaN","0.711","0.038","0.01","-0.691","NaN","-1.053","0"
"1955/11/01","00:00","1.293","NaN","0.592","-0.09","-0.115","-0.819","NaN","-1.785","0"
"1955/12/01","00:00","0.897","NaN","0.44","-0.252","-0.27","-0.98","NaN","-1.633","0"
"1956/01/01","00:00","1.293","NaN","0.577","-0.093","-0.115","-0.804","NaN","-1.541","0"
"1956/02/01","00:00","0.989","NaN","0.452","-0.206","-0.231","-0.91","NaN","-1.694","0"
"1956/03/01","00:00","1.08","NaN","0.574","-0.103","-0.121","-0.813","NaN","-1.45","0"
"1956/04/01","00:00","1.08","NaN","0.605","-0.057","-0.078","-0.764","NaN","-1.328","0"
"1956/05/01","00:00","0.958","NaN","0.531","-0.127","-0.154","-0.84","NaN","-1.328","0"
"1956/06/01","00:00","1.111","NaN","0.605","-0.069","-0.09","-0.782","NaN","-1.053","0"
"1956/07/01","00:00","1.111","NaN","0.62","-0.048","-0.072","-0.767","NaN","-1.084","0"
"1956/08/01","00:00","1.172","NaN","0.693","0.007","-0.011","-0.718","NaN","-1.023","0"
"1956/09/01","00:00","1.08","NaN","0.69","0.01","-0.017","-0.724","NaN","-1.084","0"
"1956/10/01","00:00","1.05","NaN","0.693","0.007","-0.017","-0.727","NaN","-1.053","0"
"1956/11/01","00:00","1.141","NaN","0.602","-0.081","-0.106","-0.813","NaN","-1.297","0"
"1956/12/01","00:00","1.019","NaN","0.535","-0.139","-0.157","-0.849","NaN","-1.572","0"
"1957/01/01","00:00","1.111","NaN","0.376","-0.279","-0.298","-0.974","NaN","-1.48","0"
"1957/02/01","00:00","1.111","NaN","0.495","-0.167","-0.188","-0.871","NaN","-1.48","0"
"1957/03/01","00:00","1.08","NaN","0.58","-0.081","-0.109","-0.8","NaN","-1.175","0"
"1957/04/01","00:00","0.989","NaN","0.48","-0.191","-0.215","-0.91","NaN","-1.389","0"
"1957/05/01","00:00","0.958","NaN","0.577","-0.103","-0.127","-0.834","NaN","-1.114","0"
"1957/06/01","00:00","1.019","NaN","0.599","-0.087","-0.109","-0.816","NaN","-1.023","0"
"1957/07/01","00:00","0.897","NaN","0.602","-0.093","-0.121","-0.84","NaN","-1.084","0"
"1957/08/01","00:00","1.08","NaN","0.614","-0.078","-0.103","-0.816","NaN","-1.145","0"
"1957/09/01","00:00","1.05","NaN","0.605","-0.084","-0.103","-0.813","NaN","-1.145","0"
"1957/10/01","00:00","1.293","NaN","0.641","-0.029","-0.06","-0.761","NaN","-1.236","0"
"1957/11/01","00:00","1.111","NaN","0.553","-0.127","-0.151","-0.855","NaN","-1.297","0"
"1957/12/01","00:00","1.05","NaN","0.483","-0.179","-0.197","-0.877","NaN","-1.358","0"
"1958/01/01","00:00","NaN","NaN","0.574","-0.09","-0.112","-0.797","NaN","NaN","0"
"1958/02/01","00:00","NaN","NaN","0.501","-0.17","-0.194","-0.889","NaN","NaN","0"
"1958/03/01","00:00","NaN","NaN","0.724","0.05","0.026","-0.672","NaN","NaN","0"
